date,male,female,teenager,adolescent,adult,total,source,source_2
2014-03-31,27,3,,,,30,https://www.destatis.de/DE/Publikationen/Thematisch/Rechtspflege/StrafverfolgungVollzug/BestandGefangeneVerwahrtePDF_5243201.pdf?__blob=publicationFile,
2014-07-31,,,,True,6,7,https://kleineanfragen.de/bayern/17/3059-abschiebehaft-in-bayern-1,
2014-08-31,9,3,,,,12,https://www.destatis.de/DE/Publikationen/Thematisch/Rechtspflege/StrafverfolgungVollzug/BestandGefangeneVerwahrtePDF_5243201.pdf?__blob=publicationFile,
2014-11-30,,,,,,9,https://www.destatis.de/DE/Publikationen/Thematisch/Rechtspflege/StrafverfolgungVollzug/BestandGefangeneVerwahrtePDF_5243201.pdf?__blob=publicationFile,
2015-01-31,12,2,,,,14,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-02-28,13,3,,,,16,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-03-31,14,,,,,14,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-04-30,16,,,,,16,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-05-31,11,,,,,11,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-06-30,9,1,,,,10,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-06-30,16,,,,,16,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-07-31,12,1,,,,13,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-08-31,7,1,,,,8,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-10-31,22,1,,,,23,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-11-30,29,1,,,,30,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2015-12-31,42,,,,,42,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-01-31,41,2,,,,43,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-02-29,19,1,,,,20,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-03-31,27,5,,,,32,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-04-30,27,2,,,,29,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-05-31,24,1,,,,25,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-06-30,28,,,,,28,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-07-31,17,,,,,17,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-08-31,19,1,,,,20,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-09-30,28,2,,,,30,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-10-31,37,,,,,37,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-11-30,38,1,,,,39,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,
2016-11-30,38,1,,,,39,https://kleineanfragen.de/bayern/17/14884-abschiebehaft-in-bayern,https://www.destatis.de/DE/Publikationen/Thematisch/Rechtspflege/StrafverfolgungVollzug/BestandGefangeneVerwahrtePDF_5243201.pdf?__blob=publicationFile
2017-03-31,46,4,,,,50,https://www.destatis.de/DE/Publikationen/Thematisch/Rechtspflege/StrafverfolgungVollzug/BestandGefangeneVerwahrtePDF_5243201.pdf?__blob=publicationFile,
2017-08-31,73,7,,,,80,https://www.destatis.de/DE/Publikationen/Thematisch/Rechtspflege/StrafverfolgungVollzug/BestandGefangeneVerwahrtePDF_5243201.pdf?__blob=publicationFile,
2017-11-30,92,8,,,,100,https://www.destatis.de/DE/Publikationen/Thematisch/Rechtspflege/StrafverfolgungVollzug/BestandGefangeneVerwahrtePDF_5243201.pdf?__blob=publicationFile,
