Bundesland,,,Abschie-,Überstel-,Ausreisege-
"",,,bungshaft,lungshaft,wahrsam
Bayern,gesamt,,925,,
"",Geschlecht,w,63,,
"",,m,862,,
"",Alter,unter 18,,,
"",,über 18,925,,
"",Dauer,weniger 2 Wochen,270,,
"",,2 bis 6 Wochen,463,,
"",,6 Wochen bis 3 Monate,167,,
"",,6 bis 12 Monate,2,,
"",,12 bis 15 Monate,,,
"",,15 bis 18 Monate,,,
Berlin,gesamt,,11,,
"",Geschlecht,w,,,
"",,m,11,,
"",Alter,unter 18,,,
"",,über 18,,,
"",Dauer,weniger 2 Wochen,11,,
"",,2 bis 6 Wochen,,,
"",,6 Wochen bis 3 Monate,,,
"",,6 bis 12 Monate,,,
"",,12 bis 15 Monate,,,
"",,15 bis 18 Monate,,,
Brandenburg,gesamt,,36,k. A.,---
"",Geschlecht,w,1,k. A.,---
"",,m,35,k. A.,---
"",Alter,unter 18,0,k. A.,---
"",,über 18,36,k. A.,---
"",Dauer,weniger 2 Wochen,19,k. A.,---
"",,2 bis 6 Wochen,15,k. A.,---
"",,6 Wochen bis 3 Monate,2,k. A.,---
"",,3 bis 6 Monate,---,k. A.,---
"",,6 bis 12 Monate,---,k. A.,---
"",,12 bis 15 Monate,---,k. A.,---
"",,15 bis 18 Monate,---,k. A.,---
Bundesland,,,Abschie-,Überstel-,Ausreisege-
"",,,bungshaft,lungshaft,wahrsam
Hamburg,gesamt,,116,45,17
"",Geschlecht,w,2,3,3
"",,m,114,42,14
"",Alter,unter 18,0,0,0
"",,über 18,116,45,17
"",Dauer,weniger 2 Wochen,48,20,17
"",,2 bis 6 Wochen,54,21,0
"",,6 Wochen bis 3 Monate,14,4,0
"",,6 bis 12 Monate,0,0,0
"",,12 bis 15 Monate,0,0,0
"",,15 bis 18 Monate,0,0,0
Mecklenburg-,gesamt,,2,,
Vorpommern,Geschlecht,w,,,
"",,m,2,,
"",Alter,unter 18,,,
"",,über 18,2,,
"",Dauer,weniger 2 Wochen,2,,
"",,2 bis 6 Wochen,,,
"",,6 Wochen bis 3 Monate,,,
"",,6 bis 12 Monate,,,
"",,12 bis 15 Monate,,,
"",,15 bis 18 Monate,,,
Niedersachsen,gesamt,,438,,
"",Geschlecht,w,16,,
"",,m,422,,
"",Alter,unter 18,-,,
"",,über 18,438,,
"",Dauer,weniger 2 Wochen,198,,
"",,2 bis 6 Wochen,211,,
"",,6 Wochen bis 3 Monate,27,,
"",,6 bis 12 Monate,2,,
"",,12 bis 15 Monate,-,,
"",,15 bis 18 Monate,-,,
Bundesland,,,Abschie-,Überstel-,Ausreisege-
"",,,bungshaft,lungshaft,wahrsam
Nordrhein-,gesamt,,900,235,37
Westfalen,Geschlecht,w,0,0,0
"",,m,900,235,37
"",Alter,unter 18,0,0,0
"",,über 18,900,235,37
"",Dauer,weniger 2 Wochen,179,49,37
"",,2 bis 6 Wochen,406,145,0
"",,6 Wochen bis 3 Monate,272,41,0
"",,6 bis 12 Monate,43,0,0
"",,12 bis 15 Monate,0,0,0
"",,15 bis 18 Monate,0,0,0
Rheinland-,gesamt,,168,0,0
Pfalz,Geschlecht,w,12,0,0
"",,m,156,0,0
"",Alter,unter 18,0,0,0
"",,über 18,156,0,0
"",Dauer,weniger 2 Wochen,56,0,0
"",,2 bis 6 Wochen,79,0,0
"",,6 Wochen bis 3 Monate,31,0,0
"",,6 bis 12 Monate,2,0,0
"",,12 bis 15 Monate,0,0,0
"",,15 bis 18 Monate,0,0,0
Saarland,gesamt,,14,54,1
"",Geschlecht,w,1,2,0
"",,m,13,52,1
"",Alter,unter 18,0,0,0
"",,über 18,14,54,1
"",Dauer,weniger 2 Wochen,1,12,1
"",,2 bis 6 Wochen,8,37,0
"",,6 Wochen bis 3 Monate,5,5,0
"",,6 bis 12 Monate,0,0,0
"",,12 bis 15 Monate,0,0,0
"",,15 bis 18 Monate,0,0,0
Bundesland,,,Abschie-,Überstel-,Ausreisege-
"",,,bungshaft,lungshaft,wahrsam
Sachsen,gesamt,,11,0,0
"",Geschlecht,w,0,0,0
"",,m,11,0,0
"",Alter,unter 18,0,0,0
"",,über 18,11,0,0
"",Dauer,weniger 2 Wochen,4,0,0
"",,2 bis 6 Wochen,4,0,0
"",,6 Wochen bis 3 Monate,2,0,0
"",,6 bis 12 Monate,1,0,0
"",,12 bis 15 Monate,0,0,0
"",,15 bis 18 Monate,0,0,0
Sachsen-,gesamt,,18,33,3
Anhalt,Geschlecht,w,1,0,0
"",,m,17,33,3
"",Alter,Alter unter 18,0,0,0
"",,Alter über 18,18,33,3
"",Dauer,weniger als 2 Wochen,6,14,3
"",,2 bis 6 Wochen,7,17,0
"",,6 Wo. bis 3 Monate,4,2,0
"",,3 bis 6 Monate,1,0,0
"",,6 bis 12 Monate,0,0,0
"",,12 bis 15 Monate,0,0,0
"",,15 bis 18 Monate,0,0,0
Thüringen,gesamt,,11,8,5
"",Geschlecht,w,0,1,1
"",,m,11,7,4
"",Alter,unter 18,0,,
"",,über 18,11,8,5
"",Dauer,weniger 2 Wochen,5,3,5
"",,2 bis 6 Wochen,5,5,0
"",,6 Wochen bis 3 Monate,1,0,0
"",,3 bis 6 Monate,0,0,0
"",,6 bis 12 Monate,0,0,0
"",,12 bis 15 Monate,0,0,0
"",,15 bis 18 Monate,0,0,0
